"institutionCode","records"
"AADC",831047
"Pangaea",463413
"IRD, UMR EME, SÃ¨te, France",182777
"BioPlatforms",171637
"ICoMM",131270
"DEPE",100868
"North Atlantic Fisheries Centre",82224
"NIWA",74622
"USNM",65175
"CCAMLR",61942
"FRA",55542
"NOAA SEFSC",55049
"WHOI",53582
"IRD, UMR EME, Sète, France",52915
"Southampton Oceanography Ceter",46778
"Globec",41824
"ArcOD",39680
"MNHN",34949
"BAS",33708
"Fisheries and Oceans Canada, Institute of Ocean Sciences",30681
"MCZ",30399
"DFO-NFLD",26049
"Canadian Wildlife Service-Atlantic, Environment and Climate Change Canada",24984
"ICES",20879
"BODC",18485
"Wildlife Conservation Society",15275
"Dr. S.Z. El-Sayed",15080
"NHM",14271
"Canadian Wildlife Service",13044
"JODC",12944
"Integrated Marine Observing System (IMOS)",12039
"IBSS",11541
"SWFSC",10871
"GLOBEC",10654
"SIO",10594
"BPBM",9702
"SDSC",8785
"Happywhale.com",8604
"TOPP",8532
"National Institute of Water and Atomspheric Reseach (NZ)",8462
"British Antarctic Survey",8412
"NMV",8381
"S9-5",8100
"PELAGIS",8038
"50",7267
"CSIRO, Australia",7138
"Census of Marine Life Tagging of Pacific Predators",6636
"Ifremer",6597
"AWI",6306
"AM",6113
"The Atlantic reference Centre",5921
"SMF",5627
"Inst. f. Seefischerei d. BfaFi,  Hamburg, Germany",5586
"DFO-ISDM",5470
"Museum of New Zealand Te Papa Tongarewa",5445
"JAMSTEC",5336
"RBINS",5003
"MBARI",4480
"NOAA",4421
"NSMT",4132
"Ruhr-University Bochum",4104
"RBINS-Scientific Heritage",4009
"ULg",3857
"Fisheries and Oceans Canada - ISDM",3854
"MarBEF/Manuela",3820
"TN",3798
"IMR",3510
"CSIRO",3475
"BirdLife Australia",3412
"Institute of Ocean Sciences",3412
"FCEyN, UBA",3269
"SENCKENBERG",3182
"UWFC",3110
"ROM",2848
"PRBO Conservation Science",2517
"DUML",2447
"LACM",2300
"SAMC",2165
"WoRMS Editorial Board",2125
"IMAS",2022
"KAUM",1858
"CMLRE",1849
"GAMLR",1837
"Hokkaido",1809
"HEX",1746
"IEO",1716
"P.P. Shirshov Institute of Oceanology",1694
"Wake Forest University",1679
"Greenland Institute of Natural Resources",1591
"Fisheries and Oceans Canada, Integrated Science data management (ISDM)",1552
"IMOS",1551
"San Jose State University",1536
"UNEP-WCMC",1408
"SCAR-MarBIN",1382
"ZIN: Russian Academy of Sciences",1381
"CENPAT-CONICET",1364
"CAS",1357
"AAD",1339
"REVIZEE",1297
"University of Alaska Fairbanks",1296
"European Seabirds at Sea",1279
"PIFSC",1260
"US AMLR",1258
"YPM",1255
"Marbiol Ugent",1168
"CBM",1166
"PENN",1143
"ICM-CSIC",1125
"ICoMM-Legacy",1101
"SAMA",1075
"POPA/IMAR",1066
"UPMC",1057
"VLIZ",1057
"CMN",996
"Northwest Atlantic Fisheries Centre (NAFC)",988
"University of Hamburg; Zoology Museum",966
"Inst. of Marine Research, Norway",965
"MGDS",940
"ZMH",933
"HRI",896
"Dan Costa",891
"ArCOD",875
"ZIN",813
"Italian National Antarctic Museum (Section of Genoa)",812
"ARC",803
"Sultan Qaboss University",780
"IRSNB",763
"CF",753
"C. Emig",736
"Marie C Martin, Dr Rob Ronconi, Dr R Veit",720
"Costa Lab, UC Santa Cruz",689
"SAHFOS",685
"TAMU",684
"UF",679
"CCOM",658
"COPAS-UDEC",651
"FMNH",648
"University of Lodz",646
"GNS Science",635
"MNA",634
"KBIN",606
"YUGNIRO",572
"Italian Antarctic National Museum (MNA, Section of Genoa, Italy)",553
"Shirshov Institute",552
"Marine Research Institute, Iceland (T. Sigurdsson)",533
"University of California, Santa Cruz",513
"SAIAB",485
"Bedford Institute of Oceanography",480
"UFPE",480
"University of Rhode Island",466
"BMNH",462
"SAMS",458
"BRS",450
"CAML",450
"MPI",449
"NA",446
"Stellwagen Bank National Marine Sanctuary",443
"ULB, BIOMAR",439
"Australasian Seabird Group, BirdLife Australia",433
"NEFSC",422
"UMMZ",416
"MV",414
"Discovery",409
"NCL",403
"TCWC",381
"Costa Lab Mammals",377
"Senckenberg Forschungsinstitut und Naturmuseum",377
"QM",375
"NHMUK",357
"OS",354
"TMAG",349
"Lamont-Doherty / LGL",345
"Sea Mammal Research Unit, University of St. Andrews",331
"UK Royal Navy",329
"UCT",323
"USP",321
"MTRG / Seaturtle.org",315
"UGENT",304
"P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences; Zoological Institute, Russian Academy of Sciences",299
"NSCMB",285
"CRED",283
"Liverpool John Moore University",282
"SEFSC",275
"ANSP",271
"MAGNT",269
"Northwest Atlantic Fisheries Organization (NAFO)",259
"Virginia Aquarium Stranding Response Program",258
"IFREMER and Kélonia",251
"International Fund for Animal Welfare, Song of the Whale Team",251
"P.P. Shirshov Institute of Oceanology, Russian Academy of Sciences;Natural History Collections, University Museum of Bergen;Department of Hydrobiology, Biological Faculty, Moscow State University;Natural History Museum London",251
"The Center for Conservation Biology",250
"GAMLR 1985",249
"GAMLR 1986",248
"ZMUC",245
"Dominica Sea Turtle Conservation Organization",244
"RUSI",241
"Italian Antarctic National Museum (MNA), Section of Genoa, Italy",238
"UFRJ",236
"AGAD",234
"SMRU",229
"BIO",223
"GCRL",219
"UC Santa Cruz",219
"IAA",217
"The Leatherback Trust",216
"Kamchatka Branch of the Pacific Institute of Geography, Far-Eastern Branch of the Russian Academy of Science",211
"Sarah Kienle",209
"ISH",206
"Grupo Tortuguero Tracking Project",205
"UHM",205
"Massey University",204
"North Carolina Aquarium at Pine Knoll Shores",204
