"organization","records","datasets"
"Université Libre de Bruxelles",1808346,3
"Department of Biological Sciences, Macquarie University",1807446,2
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung",1807104,1
"Antarctic Climate and Ecosystems Cooperative Research Centre, University of Tasmania,",1807104,1
"Australian Antarctic Division, Department of the Environment",1807104,1
"BEDIC, OD Nature, Royal Belgian Institute for Natural Sciences",1807104,1
"British Antarctic Survey, Natural Environment Research Council",1807104,1
"Centre d’Etudes Biologiques de Chizé, Station d’Écologie de Chizé-Université de La Rochelle",1807104,1
"Department of Ecology and Evolutionary Biology, University of California Santa Cruz",1807104,1
"Department of Ecology and Evolutionary Biology, University of California Santa Cruz, Long Marine Lab",1807104,1
"H.T. Harvey &amp; Associates",1807104,1
"Hatfield Marine Science Center",1807104,1
"Institute for Marine and Antarctic Studies, University of Tasmania",1807104,1
"National Institute of Water and Atmospheric Research",1807104,1
"National Institute of Water and Atmospheric Research Ltd",1807104,1
"OHatfield Marine Science Center",1807104,1
"Sorbonne Universités, UPMC University, Paris 06",1807104,1
"Université Libre de Bruxelles, Marine Biology Lab",1807104,1
"Flanders Marine Institute (VLIZ)",1023107,125
"U.S. Geological Survey",714004,11
"Intergovernmental Oceanographic Commission of UNESCO",641897,100
"Australian Antarctic Data Centre",641110,45
"National Oceanic and Atmospheric Administration",633458,1
"Marine Biological Association of the UK (MBA)",442777,9
"The Sir Alister Hardy Foundation for Ocean Science The Laboratory (SAHFOS)",422736,3
"Institut de Recherche pour le Développement (IRD)",235692,4
"CSIRO Oceans and Atmosphere",215306,63
"Australian Antarctic Division; Australian Antarctic Data Centre",199115,23
"Fisheries and Oceans Canada",163250,21
"Antarctic Biodiversity Information Facility (ANTABIF)",162072,71
"Woods Hole Oceanographic Institution; Marine Biological Laboratory The Josephine Bay Paul Center in Camparative Molecular Biology and Evolution (WHOI)",132528,1
"Marine Geospatial Ecology Lab, Duke University",102317,267
"Antarctic Biodiversity Portal",100868,1
"NIWA",90026,32
"Tulane University Biodiversity Research Institute",78787,1
"Thünen Institute of Sea Fisheries",78326,11
"National Oceanographic and Atmospheric Administration",74181,2
"Natural Environment Research Council; British Antarctic Survey",62496,5
"Commission for the Conservation of Antarctic Marine Living Resources",61942,1
"Woods Hole Oceanographic Institution",59234,7
"Australian Antarctic Division",58320,6
"Smithsonian Institution; National Museum of Natural History Department of Invertebrate Zoology (NMNM-IZ)",57631,1
"Smithsonian Institution; National Museum of Natural History; Department of Invertebrate Zoology (IZ)",57631,1
"Tohoku National Fisheries Research Institute, Japan Fisheries Research and Education Agency",55542,1
"Federal Government of the United States of America; Department of Commerce; National Oceanic and Atmospheric Administration; National Marine Fisheries Service; Southeast Fisheries Science Center (SEFSC)",53000,1
"National Oceanic and Atmospheric Administration; National Marine Fisheries Service Southeast Fisheries Science Center (NOAA-SEFSC)",53000,1
"Woods Hole Oceanographic Institution (WHOI)",50124,2
"University of Southampton National Oceanography Centre (SOTON-NOC)",49536,3
"University of Alaska Fairbanks - School of Fisheries and Oceans",48375,19
"University of South Florida; College of Marine Science",47835,3
"British Antarctic Survey",45121,8
"Canadian Wildlife Service",38028,2
"Australian Antarctic Division Australian Antarctic Data Centre (AAD)",37127,12
"OBIS Canada",36047,5
"University of Bremen Centre for Marine Environmental Sciences (MARUM)",33782,5
"The National Science Foundation (NSF)",32374,1
"Natural Environment Research Council; British Antarctic Survey (BAS)",30992,3
"Australian Antarctic Division (AAD)",28975,11
"Alfred Wegener Institute for Polar- and Marine Research (AWI)",25335,6
"Environment Canada - Canadian Wildlife Service",24984,1
"Royal Belgian Institute of Natural Sciences; Departement Educatie en Natuur; Afdeling Zoetwaterbiologie",22194,20
"International Council for the Exploration of the Sea (ICES)",21564,8
"Eberhard Karls University of Tübingen",21145,1
"JAMSTEC",19051,2
"British Oceanographic Data Centre (BODC)",18485,1
"National Natural History Museum Paris (MNHN)",17336,2
"University of Alaska Fairbanks; School of Fisheries and Ocean Sciences; Institute of Marine Science",16940,4
"Institute of Marine Research (IMR)",16363,6
"Duke University Marine Laboratory",16250,10
"WCS Canada",15269,1
"Australia National University; Research School of Earth Sciences",15249,1
"Helen  Campbell",15080,1
"Natural History Museum (NHM)",14522,2
"University of British Columbia",13610,3
"Christian-Albrechts-University Kiel (CAU)",13458,2
"Japan Oceanographic Data Center",12944,1
"National Academy of Sciences of Ukraine Institute of Biology of the Southern Seas (NASU-IBSS)",11547,12
"Plymouth Marine Laboratory",11371,2
"NOAA Fisheries",11033,3
"Institute of Marine Research",10973,2
"ANTABIS",10951,1
"Antarctic Climate and Ecosystems Cooperative Research Centre (ACE CRC)",10951,1
"biodiversity.aq",10951,1
